"english_name","id","major","English","Spanish","German","French","Arabic","Bosnian","Bulgarian","Catalan","Czech","Slavic","Welsh","Danish","Greek","Esperanto","Estonian","Basque","Persian","Finnish","Irish","Hebrew","Hindi","Croatian","Hungarian","Armenian","Indonesian","Icelandic","Italian","Japanese","Korean","Kurdish","Latin","Latvian","Lithuanian","Macedonian","Maltese","Moldavian","Mongolian","Nepali","Dutch","Norwegian Bokmål","Punjabi","Polish","Portuguese, Portugal","Portuguese, Brazil","Quechua","Romanian","Russian","Slovenian","Somali","Albanian","Serbian","Swedish","Tamil","Thai","Turkish","Ukrainian","Urdu","Uzbek","Vietnamese","Yiddish","Chinese (Simplified)","Zulu","Chinese (Traditional)"
"Welsh",11,,"Welsh","Galés","Walisisch","Gallois","الولزية",,,,,"Welština","Cymraeg",,"Welsh",,,,,"kymri",,"Welsh",,,"vels",,,,"Gallese","ウェールズ語","웨일즈어",,,,,,,,,,"Welsh",,,"walijski","Welsh","Welsh",,"Galeză","Валлийский",,,,,"Walesiska",,"เวลช์","Galce",,,,,,"威尔士语",,"威爾士語"
"Danish",12,1,"Danish","Danés","Dänisch","Danois","الدانماركية",,,,,"Dánčina",,"Dansk","Δανεζικα",,,,,"tanska",,"דנית",,,"dán",,,,"Danese","デンマーク語","덴마크어",,,,,,,,,,"Deens",,,"duński","Dinamarquês","Dinamarquês",,"Daneză","Датский",,,,,"Danska",,"เดนมาร์ก","Danca",,,,,,"丹麦语",,"丹麥語"
"Greek",13,,"Greek","Griego","Griechisch","Grec moderne","اليونانية",,,,,"Gréčtina",,,"Ελληνικα",,,,,"kreikka",,"יוונית",,,"görög",,,,"Greco","ギリシア語","그리스어",,,,,,,,,,"Grieks",,,"grecki","Grego","Grego",,"Greacă","Греческий",,,,,"Grekiska",,"กรีก","Yunanca",,,,,,"希腊语",,"希臘語"
"Esperanto",14,,"Esperanto","Esperanto","Esperanto","Espéranto","الاسبرانتو ",,,,,"Esperanto",,,"Εσπεραντο",,,,,"esperanto",,"Esperanto",,,"eszperantó",,,,"Esperanto","エスペラント語","에스페란토어",,,,,,,,,,"Esperanto",,,"esperanto","Esperanto","Esperanto",,"Esperanto","Эсперанто",,,,,"Esperanto",,"เอสเปอรันโต","Esperanto",,,,,,"世界语",,"世界語"
"Estonian",15,,"Estonian","Estonio","Estnisch","Estonien","الأستونية",,,,,"Estónčina",,,"Εσθονικα",,"Eesti",,,"eesti",,"Estonian",,,"észt",,,,"Estone","エストニア語","에스토니아어",,,,,,,,,,"Ests",,,"estoński","Estoniano","Estoniano",,"Estoniană","Эстонский",,,,,"Estniska",,"เอสโตเนียน","Estonya dili",,,,,,"爱沙尼亚语",,"愛沙尼亞語"
"Basque",16,,"Basque","Vasco","Baskisch","Basque","لغة الباسك",,,,,"Baskičtina",,,"Βασκικα",,,,,"baski",,"Basque",,,"baszk",,,,"Basco","バスク語","바스크어",,,,,,,,,,"Baskisch",,,"baskijski","Basco","Basco",,"Bască","Баскский",,,,,"Baskiska",,"บาสค์","Bask dili",,,,,,"巴斯克语",,"巴斯克語"
"Persian",17,,"Persian","Persa","Persisch","Perse","الفارسية",,,,,"Perzština",,,"Περσικος",,,,"پارسی ","persia",,"פרסית",,,"perzsa",,,,"Persiano","ペルシア語","페르시아어",,,,,,,,,,"Perzisch",,,"perski","Persa","Persa",,"Persană","Персидский",,,,,"Persiska",,"เปอร์เซียน","Farsça",,,,,,"波斯语",,"波斯語"
"Finnish",18,,"Finnish","Finlandés","Finnisch","Finnois","الفنلندية",,,,,"Fínština",,,"Φινλανδικη",,,,,"suomi",,"פינית",,,"finn",,,,"Finlandese","フィンランド語","핀란드어",,,,,,,,,,"Fins",,,"fiński","Finlandês","Finlandês",,"Finlandeză","Финский",,,,,"Finska",,"ฟินนิช","Fince",,,,,,"芬兰语",,"芬蘭語"
"Irish",19,,"Irish","Irlandés","Irisch","Irlandais","الأيرلندية",,,,,"Írština",,,"Ιρλανδικα",,,,,"iiri","Gaeilge","אירית",,,"ír",,,,"Irlandese","アイルランド語","아일랜드어",,,,,,,,,,"Iers",,,"irlandzki","Irlandês","Irlandês",,"Irlandeză","Ирландский",,,,,"Irländska",,"ไอริช","İrlanda dili",,,,,,"爱尔兰语",,"愛爾蘭語"
"Hebrew",20,,"Hebrew","Hebreo","Hebräisch","Hébreu","العبرية",,,,,"Hebrejčina",,,"Εβραικα",,,,,"heprea",,"עברית",,,"héber",,,,"Ebraico","ヘブライ語","히브리어",,,,,,,,,,"Hebreeuws",,,"hebrajski","Hebraico","Hebraico",,"Ebraică","Иврит",,,,,"Hebreiska",,"ฮิบรู","İbranice",,,,,,"希伯来语",,"希伯來語"
"Hindi",21,,"Hindi","Hindi","Hindi","Hindi","الهندية",,,,,"Hindčina",,,"Ινδικα",,,,,"hindi",,"הודית","हिन्दी",,"hindi",,,,"Hindi","ヒンディー語","힌두어",,,,,,,,,,"Hindi",,,"hindi","Hindi","Hindi",,"Hindi","Хинди",,,,,"Hindi",,"ฮินดิ","Hintçe",,,,,,"印地语",,"印地語"
"Croatian",22,,"Croatian","Croata","Kroatisch","Croate","الكرواتية",,,,,"Chorvátština",,,"Κροατικα",,,,,"kroatia",,"קרוטאית",,"Hrvatski","horvát",,,,"Croato","クロアチア語","크로아시아어",,,,,,,,,,"Kroatisch",,,"chorwacki","Croata","Croata",,"Croată","Хорватский",,,,,"Kroatiska",,"โครเอเชีย","Hırvatça",,,,,,"克罗地亚语",,"克羅地亞語"
"Hungarian",23,,"Hungarian","Húngaro","Ungarisch","Hongrois","الهنغارية",,,,,"Maďarčina",,,"Ουγγρικα",,,,,"unkari",,"הונגרית",,,"Magyar",,,,"Ungherese","ハンガリー語","헝가리어",,,,,,,,,,"Hongaars",,,"węgierski","Húngaro","Húngaro",,"Ungară","Венгерский",,,,,"Ungerska",,"ฮังการี","Macarca",,,,,,"匈牙利语",,"匈牙利語"
"Armenian",24,,"Armenian","Armenio","Armenisch","Arménien","الأرمينية",,,,,"Arménčina",,,"Αρμενικα",,,,,"armenia",,"Armenian",,,"örmény",,,,"Armeno","アルメニア語","아르메니아어",,,,,,,,,,"Armeens",,,"ormiański","Arménio","Arménio",,"Armeană","Армянский",,,,,"Armeniska",,"อาร์เมเนีย","Ermenice",,,,,,"亚美尼亚语",,"亞美尼亞語"
"Indonesian",25,,"Indonesian","Indonesio","Indonesisch","Indonésien","الأندونيسية",,,,,"Indonézčina",,,"Ινδονησιακα",,,,,"indonesia",,"Indonesian",,,"indonéz",,"Indonesia",,"Indonesiano","インドネシア語","인도네시아어",,,,,,,,,,"Indonesisch",,,"indonezyjski","Indonésio","Indonésio",,"Indoneziană","Индонезийский",,,,,"Indonesiska",,"อินโดนีเซีย","Endonezya dili",,,,,,"印度尼西亚语",,"印尼語"
"Icelandic",26,,"Icelandic","Islandés","Isländisch","Islandais","الأيسلاندية",,,,,"Islančina",,,"Ισλανδικα",,,,,"islanti",,"Icelandic",,,"izlandi",,,"Íslenska","Islandese","アイスランド語","아이슬랜드어",,,,,,,,,,"Ijslands",,,"islandzki","Islandês","Islandês",,"Islandeză","Исландский",,,,,"Isländska",,"ไอซ์แลนด์","İzlandaca",,,,,,"冰岛语",,"冰島語"
"Italian",27,1,"Italian","Italiano","Italienisch","Italien","الإيطالية",,,,,"Taliančina",,,"Ιταλικα",,,,,"italia",,"איטלקית",,,"olasz",,,,"Italiano","イタリア語","이태리어",,,,,,,,,,"Italiaans",,,"włoski","Italiano","Italiano",,"Italiană","Итальянский",,,,,"Italienska",,"อิตาลี","İtalyanca",,,,,,"意大利语",,"義大利語"
"Japanese",28,1,"Japanese","Japonés","Japanisch","Japonais","اليابانية",,,,,"Japonština",,,"Ιαπωνικα",,,,,"japani",,"יפנית",,,"japán",,,,"Giapponese","日本語","일어",,,,,,,,,,"Japans",,,"japoński","Japonês","Japonês",,"Japoneză","Японский",,,,,"Japanska",,"ญี่ปุ่น","Japonca",,,,,,"日语",,"日語"
"Korean",29,,"Korean","Coreano","Koreanisch","Coréen","الكورية",,,,,"Kórejčina",,,"Κορεατικα",,,,,"korea",,"קוראנית",,,"koreai",,,,"Coreano","韓国語","한국어",,,,,,,,,,"Koreaans",,,"koreański","Korean","Korean",,"Coreană","Корейский",,,,,"Koreanska",,"เกาหลี","Kore dili",,,,,,"韩语",,"韓語"
"Kurdish",30,,"Kurdish","Kurdo","Kurdisch","Kurde","الكردية",,,,,"Kurdština",,,"Κουρδικα",,,,,"kurdi",,"Kurdish",,,"kurd",,,,"Curdo","クルド語","쿠르드어",,,,,,,,,,"Koerdish",,,"kurdyjski","Curdo","Curdo",,"Kurdă","Курдский",,,,,"Kurdiska",,"เคอร์ดิช","Kürtçe",,,,,,"库尔德语",,"庫爾德語"
"Latin",31,,"Latin","Latín","Latein","Latin","اللاتينية",,,,,"Latinčina",,,"Λατινικη",,,,,"latina",,"לטינית",,,"latin",,,,"Latino","ラテン語","라틴어",,,,,,,,,,"Latijn",,,"łaciński","Latina","Latina",,"Latină","Латинский",,,,,"Latin",,"ละติน","Latince",,,,,,"拉丁语",,"拉丁語"
"Latvian",32,,"Latvian","Letón","Lettisch","Letton","اللاتفية",,,,,"Lotyština",,,"Λετονικα",,,,,"latvia",,"Latvian",,,"lett",,,,"Lettone","ラトビア語","라트비아어",,,"Latviešu ",,,,,,,"Lets",,,"łotewski","Letão","Letão",,"Letoniană","латышский ",,,,,"Lettiska",,"ลัตเวีย","Letonca",,,,,,"拉脱维亚语",,"拉脫維亞語"
"Lithuanian",33,,"Lithuanian","Lituano","Litauisch","Lituanien","اللتوانية",,,,,"Litovčina",,,"Λιθουανικα",,,,,"liettua",,"Lithuanian",,,"litván",,,,"Lituano","リトアニア語","리투아니아어",,,,,,,,,,"Litouws",,,"litewski","Lituano","Lituano",,"Lituaniană","Литовский",,,,,"Litauiska",,"ลิธัวเนีย","Litvanyaca",,,,,,"立陶宛语",,"立陶宛語"
"Macedonian",34,,"Macedonian","Macedonio","Mazedonisch","Macédonien","المقدونية",,,,,"Macedónština",,,"Μακεδονικο",,,,,"makedonia",,"Macedonian",,,"macedón",,,,"Macedone","マケドニア語","마케도니아어",,,,,,,,,,"Macedonisch",,,"macedoński","Macedônio","Macedônio",,"Macedoniană","Македонский",,,,,"Makedonska",,"มาซิโดเนีย","Makedonyaca",,,,,,"马其顿语",,"馬其頓語"
"Maltese",35,,"Maltese","Maltés","Maltesisch","Maltais","المالطية",,,,,"Maltézština",,,"Μαλτεζικα",,,,,"malta",,"Maltese",,,"máltai",,,,"Maltese","マルタ語","몰타어",,,,,,,,,,"Maltees",,,"maltański","Maltês","Maltês",,"Malteză","Мальтийский",,,,,"Maltesiska",,"มอลทีส","Malta dili",,,,,,"马耳他语",,"馬爾他語"
"Moldavian",36,,"Moldavian","Moldavo","Moldavisch","Moldave","المولدوفية",,,,,"Moldavčina",,,"Μολδαβικα",,,,,"moldavia",,"Moldavian",,,"moldovai",,,,"Moldavo","モルダビア語","몰다비아어",,,,,,,,,,"Moldavisch",,,"mołdawski","Moldavo","Moldavo",,"Moldoveană","Молдавский",,,,,"Moldaviska",,"มอลดาเวียน","Moldovyaca",,,,,,"摩尔达维亚语",,"摩爾達維亞語"
"Mongolian",37,,"Mongolian","Mongol","Mongolisch","Mongol","المنغولية",,,,,"Mongolština",,,"Μογγολικα",,,,,"mongoli",,"Mongolian",,,"mongol",,,,"Mongolo","モンゴル語","몽골어",,,,,,,,,,"Mongools",,,"mongolski","Mongolian","Mongolian",,"Mongoleză","Монгольский",,,,,"Mongoliska",,"มองโกเลีย","Mongolca",,,,,,"蒙古语",,"蒙古語"
"Nepali",38,,"Nepali","Nepalí","Nepali","Népalais","النيبالية",,,,,"Nepálčina",,,"Νεπαλι",,,,,"nepali",,"Nepali",,,"nepáli",,,,"Nepalese","ネパール語","네팔어",,,,,,,,,,"Nepalees",,,"nepalski","Nepali","Nepali",,"Nepaleză","Непальский",,,,,"Nepalesiska",,"เนปาล","Nepal dili",,,,,,"尼泊尔语",,"尼泊爾語"
"Dutch",39,1,"Dutch","Holandés","Holländisch","Néerlandais","الهولندية",,,,,"Holandčina",,,"Ολλανδικα",,,,,"hollanti",,"הולנדית",,,"holland",,,,"Neerlandese","オランダ語","화란어",,,,,,,,,,"Nederlands",,,"holenderski","Holandês","Holandês",,"Olaneză","Голландский",,,,,"Nederländska",,"ดัตช์","Hollandaca",,,,,,"荷兰语",,"荷蘭語"
"Norwegian Bokmål",40,,"Norwegian Bokmål","Bokmål","Norwegisch (Buchsprache)","Norvégien Bokmål","البوكمالية النرويجية",,,,,"Nórsky jazyk Bokmål",,,"Νορβηγικα",,,,,"kirjanorja",,"נורווגית",,,"norvég bokmål",,,,"Norvegese Bokmål","ノルウェー・ブークモール","노르웨이 보크말어",,,,,,,,,,"Noors Bokmål",,,"norweski bokmål","Norueguês","Norueguês",,"Bokmål (norvegiană)","Норвежский букмол",,,,,"Norskt Bokmål",,"นอร์วิเจียนบอกมาล","Bokmal Norveç dili",,,,,,"挪威布克莫尔语",,"挪威布克莫爾語"
"Punjabi",41,,"Punjabi","Panyabí ","Pandschabi","Panjabi","البنجابية",,,,,"Pandžábčina",,,"Panjabi",,,,,"pandzabi",,"Punjabi",,,"pandzsábi",,,,"Panjabi","パンジャーブ語","펀자브어",,,,,,,,,,"Punjabi",,,"pendżabi","Panjabi","Panjabi",,"Punjabi","Панджаби",,,,,"Punjabi",,"ปัญจาบ","Pencapça",,,,,,"旁遮普语",,"旁遮普語"
"Polish",42,,"Polish","Polaco","Polnisch","Polonais","البولندية",,,,,"Polština",,,"Πολωνικα",,,,,"puola",,"פולנית",,,"lengyel",,,,"Polacco","ポーランド語","폴란드어",,,,,,,,,,"Pools",,,"polski","Polonês","Polonês",,"Poloneză","Польский",,,,,"Polska",,"โปแลนด์","Polonyaca",,,,,,"波兰语",,"波蘭語"
"Portuguese (Portugal)",43,,"Portuguese (Portugal)","Portugués, Portugal","Portugiesisch, Portugal","Portugais - du Portugal","البرتغالية ، البرتغال",,,,,"Portugalština",,,"Πορτογαλικα",,,,,"portugali",,"פורטוגזית",,,"portugál",,,,"Portoghese, Portogallo","ポルトガル語","포르투갈 포르투갈어",,,,,,,,,,"Portugees, Portugal",,,"portugalski, Portugalia","Português","Português",,"Portugheză (Portugalia)","Португальский, Португалия",,,,,"Portugisiska, Portugal",,"โปรตุเกส","Portekizce, Portekiz",,,,,,"葡萄牙语（葡萄牙）",,"葡萄牙語（葡萄牙）"
"Portuguese (Brazil)",43,,"Portuguese (Brazil)","Portugués, Brasil","Portugiesisch, Brasilien","Portugais - du Brésil","البرتغالية ،البرازيل",,,,,"Brazílska Portugalština",,,"Πορτογαλικα",,,,,"Brasilian portugali",,"פורטוגזית",,,"brazil",,,,"Portoghese, Brasile","ポルトガル語（ブラジル）","브라질 포르투갈어",,,,,,,,,,"Portugees, Brazilië",,,"portugalski, Brazylia","Português","Português",,"Portugheză (Brazilia)","Португальский, Бразилия",,,,,"Portugisiska, Brasilien",,"โปรตุเกสบราซิล","Portekizce, Brezilya",,,,,,"葡萄牙语（巴西）",,"葡萄牙語（巴西）"
"Quechua",44,,"Quechua","Quechua","Quechua","Quechua","الكويتشوا",,,,,"Jazyk Quechua",,,"Κετσουα",,,,,"ketsua",,"Quechua",,,"quechua",,,,"Quechua","ケチュア語","케추아어",,,,,,,,,,"Quechua",,,"keczua","Quechua","Quechua",,"Quechuană","Кечуа",,,,,"Quechua",,"คิวชัว","Quechua dili",,,,,,"盖丘亚语",,"蓋丘亞語"
"Romanian",45,,"Romanian","Rumano","Rumänisch","Roumain","الرومانية",,,,,"Rumunčina",,,"Ρουμανικα",,,,,"romania",,"רומנית",,,"román",,,,"Rumeno","ルーマニア語","로마니아어",,,,,,,,,,"Roemeens",,,"rumuński","Romeno","Romeno",,"Română","Румынский",,,,,"Rumänska",,"โรมาเนีย","Rumence",,,,,,"罗马尼亚语",,"羅馬尼亞語"
"Russian",46,1,"Russian","Ruso","Russisch","Russe","الروسية",,,,,"Ruština",,,"Ρωσικα",,,,,"venäjä",,"רוסית",,,"orosz",,,,"Russo","ロシア語","러시아어",,,,,,,,,,"Russisch",,,"rosyjski","Russo","Russo",,"Rusă","Русский",,,,,"Ryska",,"รัสเซีย","Rusça",,,,,,"俄语",,"俄語"
"Slovenian",47,,"Slovenian","Esloveno","Slowenisch","Slovène","السلوفانية",,,,,"Slovinčina",,,"Σλοβενικα",,,,,"sloveeni",,"Slovenian",,,"szlovén",,,,"Sloveno","スロベニア語","슬로베니아어",,,,,,,,,,"Sloveens",,,"słoweński","Esloveno","Esloveno",,"Slovenă","Словенский",,,,,"Slovenska",,"สโลวีเนียน","Sloven dili",,,,,,"斯洛文尼亚语",,"斯洛文尼亞語"
"Somali",48,,"Somali","Somalí","Somali","Somali","الصومالية",,,,,"Somálčina",,,"Somali",,,,,"somali",,"Somali",,,"szomáli",,,,"Somalo","ソマリ語","소말리아어",,,,,,,,,,"Somalisch",,,"somalijski","Somali","Somali",,"Somaleză","Сомалийский",,,,,"Somaliska",,"โซมาลี","Somalice",,,,,,"索马里语",,"索馬里語"
"Albanian",49,,"Albanian","Albanés","Albanisch","Albanais","الألبانية",,,,,"Albánčina",,,"Αλβανικα",,,,,"albania",,"Albanian",,,"albán",,,,"Albanese","アルバニア語","알바니아어",,,,,,,,,,"Albaans",,,"albański","Albanês","Albanês",,"Albaneză","Албанский",,,,,"Albanska",,"อัลเบเนีย","Arnavutça",,,,,,"阿尔巴尼亚语",,"阿爾巴尼亞語"
"Serbian",50,,"Serbian","Serbio","Serbisch","Serbe","الصربية",,,,,"Srbština",,,"Σερβικα",,,,,"serbia",,"Serbian",,,"szerb",,,,"Serbo","セルビア語","세르비아어",,,,,,,,,,"Servisch",,,"serbski","Sérvio","Sérvio",,"Sârbă","Сербский",,,,,"Serbiska",,"เซอร์เบีย","Sırpça",,,,,,"赛尔维亚语",,"賽爾維亞語"
"Swedish",51,,"Swedish","Sueco","Schwedisch","Suédois","السويدية",,,,,"Švédština",,,"Σουηδικη",,,,,"ruotsi",,"שוודית",,,"svéd",,,,"Svedese","スウェーデン語","스웨덴어",,,,,,,,,,"Zweeds",,,"szwedzki","Sueco","Sueco",,"Suedeză","Шведский",,,,,"Svenska",,"สวีเดน","İsveççe",,,,,,"瑞典语",,"瑞典語"
"Tamil",52,,"Tamil","Tamil","Tamil","Tamoul","التاميلية",,,,,"Tamilčina",,,"Ταμιλ",,,,,"tamili",,"Tamil",,,"tamil",,,,"Tamil","タミル語","타밀어",,,,,,,,,,"Tamil",,,"tamilski","Tamil","Tamil",,"Tamilă","Тамильский",,,,,"Tamil",,"ทมิฬ","Tamil dili",,,,,,"泰米尔语",,"泰米爾語"
"Thai",53,,"Thai","Tailandés","Thai","Thaï","التايلندية",,,,,"Thajština",,,"Thai",,,,,"thai",,"Thai",,,"tájföldi",,,,"Thai","タイ語","태국어",,,,,,,,,,"Thai",,,"tajski","Tailandês","Tailandês",,"Tailandeză","Тайский",,,,,"Thailändska",,"ไทย","Tayca",,,,,,"泰语",,"泰語"
"Turkish",54,,"Turkish","Turco","Türkisch","Turc","التركية",,,,,"Turečtina",,,"Τουρκικα",,,,,"turkki",,"תורכית",,,"török",,,,"Turco","トルコ語","터어키어",,,,,,,,,,"Turks",,,"turecki","Turco","Turco",,"Turcă","Турецкий",,,,,"Turkiska",,"ตุรกี","Türkçe",,,,,,"土耳其语",,"土耳其語"
"Ukrainian",55,,"Ukrainian","Ucraniano","Ukrainisch","Ukrainien","الأوكرانية",,,,,"Ukrajinčina",,,"Ουκρανικα",,,,,"ukraina",,"Ukrainian",,,"ukrán",,,,"Ucraino","ウクライナ語","우크라이나어",,,,,,,,,,"Oekraïens",,,"ukraiński","Ucraniano","Ucraniano",,"Ucrainiană","Украинский",,,,,"Ukrainska",,"ยูเครน","Ukraynaca",,,,,,"乌克兰语",,"烏克蘭語"
"Urdu",56,,"Urdu","Urdu","Urdu","Ourdu","الأردية",,,,,"Urdština",,,"Ουρντου",,,,,"urdu",,"Urdu",,,"urdu",,,,"Urdu","ウルドゥー語","우르두어",,,,,,,,,,"Urdu",,,"urdu","Urdu","Urdu",,"Urdu","Урду",,,,,"Urdu",,"อุรดู","Urduca",,,,,,"乌尔都语",,"烏爾都語"
"Uzbek",57,,"Uzbek","Uzbeko","Usbekisch","Ouzbek","الاوزباكية",,,,,"Uzbekčina",,,"Ουζμπεκικα",,,,,"uzbekki",,"Uzbek",,,"üzbég",,,,"Uzbeco","ウズベク語","우즈베크어",,,,,,,,,,"Oezbeeks",,,"uzbecki","Uzbeque","Uzbeque",,"Uzbecă","Узбекский",,,,,"Uzbekiska",,"อุซเบก","Özbekçe",,,,,,"乌兹别克语",,"烏茲別克語"
"Vietnamese",58,,"Vietnamese","Vietnamita ","Vietnamesisch","Vietnamien","الفيتنامية",,,,,"Vietnamčina",,,"Βιετναμεζικα",,,,,"vietnam",,"Vietnamese",,,"vietnámi",,,,"Vietnamita","ベトナム語","베트남어",,,,,,,,,,"Vietnamees",,,"wietnamski","Vietnamita","Vietnamita",,"Vietnameză","Вьетнамский",,,,,"Vietnamesiska",,"เวียดนาม","Vietnamca",,,,,,"越南语",,"越南語"
"Yiddish",59,,"Yiddish","Yidis","Jiddisch","Yiddish","اليديشية",,,,,"Jidiš",,,"Γιντις",,,,,"jiddi",,"יידיש",,,"jiddis",,,,"Yiddish","イディッシュ語","이디시어",,,,,,,,,,"Jiddisch",,,"jidysz","Yiddish","Yiddish",,"Idiş","Идиш",,,,,"Jiddisch",,"ยิชดิช","Eski İbranice",,,,,,"依地语",,"依地語"
"Chinese (Simplified)",60,1,"Chinese (Simplified)","Chino simplificado","Vereinfachtes Chinesisch","Chinois simplifié","الصينية المبسطة",,,,,"Zjednodušená Čínština",,,"Κινεζικα",,,,,"kiina",,"סינית",,,"egyszerűsített kínai",,,,"Cinese semplificato","簡体中国語","중국어 간체",,,,,,,,,,"Vereenvoudigd Chinees",,,"chiński uproszczony","Chinês","Chinês",,"Chineza simplificată","Упрощенный китайский",,,,,"Förenklad kinesiska",,"จีนประยุกต์","Modern Çince",,,,,,"简体中文",,"簡體中文"
"Zulu",61,,"Zulu","Zulú","Zulu","Zoulou","الزولو",,,,,"Jazyk Zulu",,,"Ζουλου",,,,,"zulu",,"Zulu",,,"zulu",,,,"Zulu","ズールー語","줄루어",,,,,,,,,,"Zulu",,,"zuluski","Zulu","Zulu",,"Zulu","Зулу",,,,,"Zulu",,"ซูลู","Zulu dili",,,,,,"祖鲁语",,"祖魯語"
